ticker,action,score,price,stop,target,trend,momentum,mean_reversion,relative_str,volume,snap_Close,snap_RSI,snap_%B,snap_ATR%,snap_RS_60d,snap_Ret_5d,snap_Ret_20d,snap_DD_252,snap_VolZ,rationale
BBL.BK,BUY-STRONG,60.6,169.22,163.16,179.84,100.0,50.0,-15.0,100.0,61.5,169.22,65.52,0.75,1.79,93.02,-0.66,11.74,-1.31,2.15,"All five factors aligned to the upside. Drivers: trend=+100, relative_str=+100"
CPALL.BK,BUY-DIP,55.1,651.21,629.54,689.13,79.0,70.0,-5.0,100.0,-0.7,651.21,61.64,0.7,1.66,89.05,-2.77,9.49,-16.19,-0.07,"Pullback in uptrend (price > 200-EMA), RSI 62, %B 0.70. Drivers: relative_str=+100, trend=+79"
TIDLOR.BK,HOLD,54.8,317.32,304.72,339.39,100.0,50.0,-15.0,100.0,2.7,317.32,73.16,0.89,1.99,174.49,6.82,19.82,-1.12,0.27,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-15, volume=+3"
MINT.BK,BUY-DIP,53.0,155.13,149.33,165.29,75.4,70.0,-15.0,100.0,8.6,155.13,59.76,0.79,1.87,79.29,4.83,-4.79,-8.32,0.86,"Pullback in uptrend (price > 200-EMA), RSI 60, %B 0.79. Drivers: relative_str=+100, trend=+75"
BTS.BK,HOLD,52.3,301.88,289.1,324.25,100.0,50.0,-30.0,100.0,8.2,301.88,69.03,1.04,2.12,76.58,7.63,8.87,-12.15,0.82,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-30, volume=+8"
MTC.BK,HOLD,51.6,669.0,638.38,722.6,100.0,50.0,-30.0,100.0,0.6,669.0,72.26,0.93,2.29,111.55,5.96,16.91,0.0,0.06,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-30, volume=+1"
GLOBAL.BK,BUY-DIP,51.3,88.24,83.33,96.82,70.1,70.0,-15.0,100.0,8.0,88.24,60.21,0.8,2.78,97.16,12.49,5.04,-21.58,0.8,"Pullback in uptrend (price > 200-EMA), RSI 60, %B 0.80. Drivers: relative_str=+100, trend=+70"
GULF.BK,HOLD,50.9,313.09,296.34,342.39,98.1,50.0,-30.0,100.0,-0.2,313.09,67.94,1.14,2.67,89.67,12.97,6.55,0.0,-0.02,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-30, volume=-0"
RATCH.BK,HOLD,50.1,32.54,31.43,34.47,97.7,50.0,-30.0,100.0,-7.1,32.54,67.34,1.18,1.7,85.54,5.85,6.37,-1.44,-0.71,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-30, volume=-7"
HMPRO.BK,BUY-DIP,47.8,63.28,60.28,68.55,60.0,70.0,-10.0,100.0,-7.1,63.28,59.47,0.75,2.38,77.02,-1.04,16.59,-22.71,-0.71,"Pullback in uptrend (price > 200-EMA), RSI 59, %B 0.75. Drivers: relative_str=+100, momentum=+70"
